index_shangche,label_shangche,name,lat,lon,index_xiache,label_xiache,pop_dens,age_0_19,age_20_39,age_40_59,age_60,lu_comm,lu_res,lu_work,lu_pub,dis_pop,dis_poi
3038,5,镇岗塔,39.813774,116.162814,3038,6,10455,0.16,0.41,0.21,0.22,0.15,0.29,0.4,0.16,22.68,21.06
3039,5,镇岗塔路南口,39.811533,116.15958,3039,6,11628,0.14,0.39,0.26,0.21,0.14,0.27,0.43,0.16,23.05,21.43
3040,5,王佐镇政府,39.799298,116.149302,3040,1,10760,0.15,0.33,0.29,0.23,0.1,0.54,0.21,0.15,24.58,22.93
3041,5,世界地热博览园,39.79172,116.149858,3041,1,11751,0.17,0.31,0.3,0.22,0.09,0.54,0.2,0.17,25.09,23.4
3042,5,南宫迎宾路,39.78734,116.150057,3042,1,11295,0.17,0.32,0.28,0.23,0.09,0.55,0.2,0.16,25.4,23.69
3043,5,南宫迎宾路南站,39.780232,116.150349,3043,1,10035,0.15,0.33,0.32,0.2,0.09,0.55,0.2,0.16,25.91,24.17
3044,8,刘庄子,39.850616,116.243845,3044,6,28176,0.16,0.35,0.28,0.21,0.07,0.49,0.27,0.17,14.73,13.05
3045,8,西道口东,39.854118,116.234029,3045,6,28739,0.17,0.36,0.25,0.22,0.07,0.48,0.28,0.17,15.13,13.52
3046,6,大木仓胡同,39.910463,116.362652,3046,4,15992,0.13,0.37,0.28,0.22,0.11,0.43,0.31,0.15,3.24,1.12
3048,3,霍营北口,40.087014,116.356613,3048,3,5715,0.17,0.33,0.26,0.24,0.19,0.29,0.33,0.19,16.57,18.61
3049,3,科星西路北口,40.088423,116.349562,3049,3,5792,0.16,0.38,0.21,0.25,0.18,0.28,0.36,0.18,16.79,18.81
3050,3,地铁平西府站,40.088236,116.341731,3050,3,5155,0.16,0.33,0.26,0.25,0.17,0.28,0.36,0.19,16.86,18.85
3051,3,龙锦苑四区西门,40.08394,116.337628,3051,3,5327,0.17,0.32,0.26,0.25,0.2,0.28,0.33,0.19,16.45,18.42
3052,3,龙锦苑六区,40.082145,116.338935,3052,3,5809,0.17,0.34,0.26,0.23,0.2,0.3,0.32,0.18,16.24,18.21
3053,3,良庄家园,40.08145,116.343336,3053,3,5966,0.16,0.36,0.23,0.25,0.18,0.31,0.32,0.19,16.1,18.08
3054,3,龙跃苑二区东门,40.0779,116.343676,3054,3,5221,0.15,0.36,0.27,0.22,0.19,0.3,0.33,0.18,15.7,17.69
3055,3,龙跃苑一区西门,40.075537,116.343835,3055,3,5223,0.14,0.37,0.25,0.24,0.2,0.29,0.33,0.18,15.44,17.43
3056,3,龙跃苑四区北门,40.074223,116.343277,3056,3,5127,0.16,0.37,0.22,0.25,0.18,0.28,0.34,0.2,15.3,17.29
3057,3,龙腾苑四区东门,40.073579,116.338607,3057,3,5192,0.17,0.37,0.24,0.22,0.19,0.3,0.34,0.17,15.3,17.27
3058,3,龙跃苑四区西门,40.071479,116.338607,3058,3,5187,0.16,0.36,0.25,0.23,0.2,0.3,0.31,0.19,15.08,17.04
3059,3,地铁回龙观站,40.069963,116.330775,3059,3,5661,0.16,0.38,0.23,0.23,0.19,0.31,0.32,0.18,15.06,16.98
3060,3,育知路南口,40.072225,116.323514,3060,3,5169,0.16,0.33,0.26,0.25,0.18,0.3,0.33,0.19,15.46,17.35
3061,3,龙腾苑三区东门,40.075717,116.327891,3061,3,5828,0.17,0.32,0.26,0.25,0.19,0.29,0.35,0.17,15.74,17.65
3062,3,龙禧苑五区西门,40.080022,116.327065,3062,3,5586,0.16,0.35,0.25,0.24,0.19,0.26,0.35,0.2,16.22,18.14
3063,3,流星花园一区西门,40.086362,116.331272,3063,3,5546,0.14,0.38,0.24,0.24,0.18,0.29,0.34,0.19,16.82,18.77
3064,3,流星花园一区北门,40.087887,116.334085,3064,3,5030,0.14,0.33,0.3,0.23,0.2,0.29,0.33,0.18,16.94,18.9
3065,8,二拨子新村,40.076561,116.288105,3065,5,28255,0.14,0.4,0.22,0.24,0.07,0.51,0.27,0.15,16.97,18.69
3066,8,二拨子新村东,40.078689,116.293975,3066,5,29869,0.15,0.41,0.22,0.22,0.06,0.56,0.24,0.14,16.98,18.73
3067,8,龙兴园北门,40.07935,116.295635,3067,5,27598,0.15,0.37,0.25,0.23,0.05,0.53,0.26,0.16,16.99,18.76
3068,8,北京人家北门,40.080297,116.297946,3068,5,28647,0.15,0.4,0.22,0.23,0.06,0.53,0.25,0.16,17.02,18.79
