index_shangche,label_shangche,name,lat,lon,index_xiache,label_xiache,pop_dens,age_0_19,age_20_39,age_40_59,age_60,lu_comm,lu_res,lu_work,lu_pub,dis_pop,dis_poi
0,8,四惠枢纽站,39.905301,116.490964,0,7,25147,0.14,0.43,0.19,0.24,0.06,0.51,0.28,0.15,10.71,10.67
1,7,八王坟西,39.907188,116.469021,1,7,23908,0.16,0.36,0.26,0.22,0.1,0.45,0.31,0.14,8.89,8.79
2,8,郎家园,39.907107,116.464084,2,7,29431,0.14,0.37,0.25,0.24,0.06,0.51,0.27,0.16,8.51,8.38
3,7,大北窑东,39.907305,116.458656,3,7,20534,0.16,0.41,0.23,0.2,0.1,0.44,0.34,0.12,8.08,7.92
4,7,大北窑西,39.907343,116.454031,4,4,23152,0.14,0.38,0.26,0.22,0.1,0.48,0.29,0.13,7.72,7.53
5,7,永安里路口西,39.907162,116.442118,5,8,20733,0.14,0.42,0.21,0.23,0.11,0.41,0.34,0.14,6.84,6.54
6,7,日坛路,39.907185,116.435763,6,8,21464,0.13,0.43,0.22,0.22,0.11,0.41,0.35,0.13,6.38,6.01
7,7,北京站口东,39.907114,116.422277,7,8,21583,0.14,0.43,0.19,0.24,0.11,0.4,0.35,0.14,5.46,4.9
9,6,天安门东,39.906457,116.395946,9,8,15316,0.13,0.42,0.22,0.23,0.13,0.36,0.35,0.16,4.06,2.86
10,6,天安门西,39.90622,116.387648,10,4,16983,0.14,0.41,0.21,0.24,0.11,0.39,0.34,0.16,3.8,2.3
11,6,西单路口东,39.905894,116.37204,11,4,15012,0.14,0.4,0.22,0.24,0.1,0.45,0.3,0.15,3.63,1.6
12,6,复兴门内,39.905916,116.352131,12,4,15128,0.14,0.39,0.25,0.22,0.1,0.44,0.32,0.14,4.04,2.02
13,6,南礼士路,39.905927,116.344216,13,4,17016,0.13,0.41,0.25,0.21,0.11,0.43,0.3,0.16,4.38,2.5
14,6,工会大楼,39.906001,116.339586,14,4,17007,0.14,0.37,0.28,0.21,0.11,0.41,0.32,0.16,4.61,2.82
15,6,木樨地西,39.906406,116.326825,15,6,15578,0.16,0.37,0.22,0.25,0.11,0.39,0.35,0.15,5.32,3.76
16,8,军事博物馆,39.906228,116.316967,16,6,27712,0.15,0.4,0.22,0.23,0.06,0.5,0.28,0.16,5.98,4.55
17,8,公主坟,39.906312,116.304186,17,6,25718,0.14,0.36,0.29,0.21,0.07,0.52,0.26,0.15,6.88,5.59
18,8,翠微路口,39.906303,116.294934,18,6,28176,0.15,0.36,0.26,0.23,0.06,0.52,0.28,0.14,7.57,6.35
19,8,万寿路口西,39.90628,116.287348,19,6,25240,0.16,0.36,0.27,0.21,0.06,0.48,0.3,0.16,8.14,6.98
20,8,东翠路口,39.906284,116.281457,20,6,25560,0.17,0.38,0.22,0.23,0.06,0.47,0.31,0.16,8.6,7.48
21,5,沙沟路口西,39.906284,116.276274,21,6,10297,0.15,0.34,0.27,0.24,0.15,0.29,0.39,0.17,9,7.91
22,5,五棵松桥东,39.90628,116.27134,22,6,10425,0.14,0.36,0.28,0.22,0.14,0.3,0.41,0.15,9.39,8.32
23,5,永定路口东,39.906289,116.260418,23,6,10000,0.15,0.36,0.29,0.2,0.14,0.27,0.45,0.14,10.25,9.24
24,5,玉泉路口西,39.906274,116.245671,24,6,11739,0.15,0.41,0.2,0.24,0.14,0.28,0.42,0.16,11.44,10.48
25,5,八宝山,39.906273,116.236227,25,6,11547,0.16,0.39,0.24,0.21,0.14,0.31,0.39,0.16,12.21,11.28
26,4,地铁八宝山站,39.906272,116.231223,26,6,9138,0.15,0.34,0.3,0.21,0.14,0.24,0.46,0.16,12.62,11.7
29,5,五棵松桥西,39.90618,116.267054,29,6,11872,0.14,0.4,0.23,0.23,0.14,0.28,0.43,0.15,9.73,8.68
30,6,南菜园,39.876245,116.346106,30,4,16252,0.13,0.42,0.21,0.24,0.12,0.39,0.33,0.16,7.3,5.17
31,6,白纸坊路口西,39.876533,116.351945,31,4,17240,0.14,0.41,0.23,0.22,0.11,0.41,0.33,0.15,7.12,4.99
32,6,南樱桃园路口北,39.878017,116.357782,32,4,17966,0.12,0.4,0.26,0.22,0.11,0.44,0.29,0.16,6.85,4.72
33,6,牛街南口,39.881147,116.357613,33,4,16895,0.13,0.41,0.24,0.22,0.11,0.39,0.34,0.16,6.51,4.38
34,6,牛街礼拜寺,39.883367,116.357494,34,4,16341,0.14,0.37,0.25,0.24,0.11,0.4,0.34,0.15,6.27,4.14
35,6,牛街,39.886947,116.357423,35,4,16986,0.12,0.38,0.27,0.23,0.11,0.41,0.32,0.16,5.89,3.75
36,6,宣武医院,39.889327,116.357377,36,4,16582,0.12,0.38,0.25,0.25,0.1,0.45,0.29,0.16,5.63,3.5
37,6,槐柏树街东口,39.896077,116.357232,37,4,16637,0.13,0.38,0.25,0.24,0.12,0.4,0.33,0.15,4.91,2.78
38,6,长椿街路口北,39.898627,116.35726,38,4,17640,0.12,0.4,0.23,0.25,0.11,0.42,0.32,0.15,4.63,2.51
39,6,新文化街西口,39.903307,116.357162,39,4,16082,0.12,0.38,0.27,0.23,0.11,0.39,0.34,0.16,4.14,2.03
40,6,民族文化宫,39.905925,116.35826,40,4,16351,0.12,0.37,0.29,0.22,0.11,0.4,0.35,0.14,3.84,1.73
41,6,三里河东路南口,39.907178,116.33808,41,4,15641,0.14,0.39,0.25,0.22,0.12,0.41,0.31,0.16,4.59,2.86
43,6,月坛南街北站,39.913965,116.338976,43,4,16322,0.13,0.41,0.21,0.25,0.12,0.44,0.3,0.14,3.99,2.5
44,6,月坛北街北站,39.917986,116.338715,44,4,15067,0.13,0.39,0.23,0.25,0.11,0.43,0.32,0.14,3.71,2.45
45,6,阜外西口,39.921898,116.334475,45,8,16734,0.14,0.38,0.25,0.23,0.12,0.34,0.39,0.15,3.78,2.81
46,8,甘家口西,39.921886,116.326035,46,8,29032,0.14,0.39,0.23,0.24,0.07,0.44,0.33,0.16,4.42,3.53
47,8,白堆子口东,39.922118,116.321454,47,8,25766,0.13,0.4,0.26,0.21,0.08,0.47,0.3,0.15,4.77,3.92
48,8,马神庙,39.922476,116.313813,48,8,29291,0.15,0.43,0.2,0.22,0.07,0.46,0.3,0.17,5.36,4.57
49,8,航天桥东,39.922817,116.308694,49,8,25130,0.15,0.43,0.19,0.23,0.08,0.44,0.33,0.15,5.76,5.01
50,8,甘家口东,39.92164,116.331153,50,8,26283,0.13,0.38,0.25,0.24,0.07,0.46,0.3,0.17,4.04,3.09
51,8,百万庄西口,39.926841,116.328917,51,8,25165,0.15,0.43,0.18,0.24,0.07,0.48,0.3,0.15,3.98,3.36
52,8,百万庄中街,39.926818,116.33202,52,8,29004,0.15,0.39,0.25,0.21,0.08,0.46,0.3,0.16,3.74,3.11
53,8,百万庄东口,39.926822,116.335592,53,8,26213,0.15,0.39,0.25,0.21,0.07,0.47,0.29,0.17,3.45,2.81
54,8,展览路,39.921899,116.339744,54,8,28903,0.15,0.4,0.22,0.23,0.08,0.48,0.31,0.13,3.39,2.36
55,6,阜成门外,39.922045,116.344334,55,8,15447,0.15,0.39,0.23,0.23,0.13,0.34,0.37,0.16,3.06,1.97
56,8,阜成门,39.922142,116.348256,56,8,28439,0.15,0.42,0.2,0.23,0.07,0.46,0.31,0.16,2.79,1.64
57,8,阜成门内,39.922221,116.35159,57,8,26846,0.15,0.37,0.25,0.23,0.08,0.47,0.31,0.14,2.58,1.37
58,6,白塔寺东,39.92248,116.361003,58,5,15036,0.15,0.39,0.24,0.22,0.12,0.41,0.31,0.16,2.06,0.61
59,8,西四路口东,39.922671,116.369721,59,9,29727,0.14,0.38,0.26,0.22,0.08,0.43,0.33,0.16,1.78,0.38
60,7,西安门,39.921141,116.373287,60,8,22577,0.15,0.39,0.25,0.21,0.1,0.44,0.33,0.13,1.93,0.53
61,7,北海,39.920819,116.383588,61,8,21389,0.15,0.4,0.23,0.22,0.1,0.44,0.34,0.12,2.16,1.39
62,7,神武门,39.921852,116.389395,62,8,20278,0.15,0.37,0.25,0.23,0.1,0.45,0.33,0.12,2.31,1.9
63,7,沙滩路口西,39.922899,116.399305,63,8,22226,0.13,0.42,0.22,0.23,0.09,0.42,0.35,0.14,2.83,2.75
64,6,美术馆东,39.922855,116.406788,64,4,17141,0.12,0.39,0.26,0.23,0.11,0.4,0.32,0.17,3.36,3.38
65,6,东四路口东,39.922886,116.412853,65,4,15466,0.14,0.4,0.23,0.23,0.12,0.4,0.32,0.16,3.81,3.9
66,7,朝内小街,39.922928,116.41834,66,8,23983,0.15,0.4,0.22,0.23,0.1,0.43,0.34,0.13,4.23,4.37
67,7,朝阳门内,39.922975,116.426272,67,8,20551,0.15,0.41,0.22,0.22,0.1,0.42,0.34,0.14,4.85,5.04
68,7,朝阳门外,39.922809,116.433605,68,8,21978,0.15,0.38,0.24,0.23,0.1,0.43,0.33,0.14,5.45,5.66
69,7,神路街,39.922046,116.438285,69,8,22322,0.15,0.4,0.24,0.21,0.11,0.43,0.34,0.12,5.85,6.06
70,7,东大桥路口东,39.920953,116.445393,70,8,20040,0.14,0.4,0.24,0.22,0.1,0.41,0.35,0.14,6.47,6.66
71,7,关东店,39.919497,116.448792,71,8,23221,0.15,0.43,0.19,0.23,0.1,0.42,0.35,0.13,6.79,6.95
72,7,呼家楼西,39.918231,116.453827,72,8,21261,0.14,0.39,0.27,0.2,0.1,0.4,0.35,0.15,7.24,7.38
73,7,小庄路口东,39.914698,116.465558,73,8,20340,0.14,0.38,0.28,0.2,0.11,0.39,0.35,0.15,8.32,8.4
74,7,红庙路口西,39.914275,116.470606,74,8,21532,0.15,0.4,0.22,0.23,0.11,0.42,0.33,0.14,8.74,8.83
75,7,红庙路口东,39.914103,116.474991,75,8,23161,0.14,0.4,0.23,0.23,0.1,0.42,0.33,0.15,9.1,9.21
76,7,东大桥路口西,39.921717,116.442948,76,8,21374,0.15,0.38,0.24,0.23,0.11,0.39,0.34,0.16,6.24,6.45
77,8,甘家口北,39.923025,116.328474,77,8,26092,0.16,0.37,0.23,0.24,0.07,0.48,0.31,0.14,4.18,3.33
78,8,动物园枢纽站,39.936027,116.332676,78,8,28275,0.15,0.38,0.24,0.23,0.07,0.46,0.32,0.15,3.46,3.46
79,8,二里沟,39.934618,116.327126,79,8,27743,0.13,0.4,0.23,0.24,0.08,0.45,0.32,0.15,3.94,3.8
80,8,百万庄,39.929884,116.327725,80,8,27287,0.15,0.38,0.25,0.22,0.07,0.46,0.32,0.15,3.99,3.55
81,8,甘家口大厦,39.925783,116.328113,81,8,26011,0.15,0.38,0.26,0.21,0.07,0.49,0.28,0.16,4.09,3.41
82,8,西四路口西,39.922537,116.365975,82,9,28356,0.14,0.39,0.25,0.22,0.09,0.42,0.34,0.15,1.88,0.32
83,8,缸瓦市,39.917853,116.367408,83,8,25088,0.15,0.4,0.24,0.21,0.08,0.46,0.29,0.17,2.35,0.22
84,6,甘石桥,39.914393,116.367538,84,4,16532,0.13,0.35,0.3,0.22,0.11,0.4,0.35,0.14,2.72,0.61
85,8,西单商场,39.909603,116.367654,85,8,27932,0.15,0.41,0.21,0.23,0.08,0.45,0.32,0.15,3.25,1.14
86,8,西单路口南,39.903163,116.367855,86,8,28571,0.14,0.43,0.2,0.23,0.08,0.45,0.32,0.15,3.95,1.86
87,6,宣武门内,39.899893,116.367989,87,4,16363,0.12,0.41,0.22,0.25,0.12,0.43,0.3,0.15,4.31,2.22
88,6,校场口,39.894243,116.368156,88,8,16676,0.14,0.38,0.26,0.22,0.12,0.32,0.4,0.16,4.94,2.85
89,6,菜市口北,39.889843,116.368127,89,8,16592,0.15,0.39,0.24,0.22,0.12,0.37,0.37,0.14,5.43,3.34
90,6,果子巷,39.887848,116.372831,90,8,17223,0.14,0.42,0.21,0.23,0.12,0.38,0.35,0.15,5.63,3.59
91,6,虎坊桥路口南,39.886184,116.378473,91,8,17812,0.15,0.44,0.18,0.23,0.11,0.36,0.39,0.14,5.84,3.86
92,6,太平街北口,39.880343,116.38112,92,4,15809,0.14,0.42,0.23,0.21,0.11,0.43,0.33,0.13,6.5,4.55
93,6,太平街,39.875752,116.381185,93,8,15156,0.14,0.43,0.19,0.24,0.12,0.35,0.38,0.15,7.01,5.04
94,6,陶然桥北,39.872961,116.381314,94,8,17565,0.14,0.43,0.21,0.22,0.13,0.33,0.38,0.16,7.32,5.35
95,6,四路通,39.861043,116.380605,95,8,16583,0.13,0.39,0.27,0.21,0.12,0.36,0.36,0.16,8.64,6.64
96,6,洋桥南,39.854654,116.38057,96,4,16145,0.13,0.41,0.22,0.24,0.11,0.39,0.35,0.15,9.35,7.34
97,8,马家堡东口,39.849534,116.380698,97,6,25464,0.17,0.35,0.26,0.22,0.07,0.51,0.28,0.14,9.91,7.9
98,6,西马场北口,39.844905,116.380278,98,4,15681,0.13,0.37,0.26,0.24,0.11,0.41,0.34,0.14,10.43,8.41
99,6,西马场,39.838813,116.37939,99,4,16260,0.14,0.42,0.22,0.22,0.12,0.41,0.32,0.15,11.1,9.07
100,6,西马小区,39.838829,116.374975,100,4,15257,0.13,0.41,0.25,0.21,0.12,0.4,0.33,0.15,11.08,9.03
101,6,角门南站,39.83882,116.373587,101,4,17270,0.13,0.37,0.26,0.24,0.11,0.4,0.35,0.14,11.08,9.03
102,6,洋桥北,39.856224,116.380649,102,8,15358,0.14,0.41,0.21,0.24,0.11,0.33,0.42,0.14,9.17,7.17
103,6,虎坊路,39.883204,116.378791,103,4,16540,0.14,0.39,0.23,0.24,0.12,0.41,0.31,0.16,6.17,4.19
104,6,虎坊桥路口西,39.888069,116.375858,104,8,16029,0.15,0.38,0.25,0.22,0.12,0.34,0.39,0.15,5.61,3.61
105,8,宣武门外,39.895783,116.368356,105,8,28781,0.13,0.43,0.21,0.23,0.08,0.45,0.3,0.17,4.77,2.68
106,8,西四路口南,39.919853,116.367342,106,9,25409,0.13,0.39,0.25,0.23,0.08,0.43,0.35,0.14,2.13,0
107,7,北京站西,39.903263,116.418134,107,8,21110,0.14,0.44,0.18,0.24,0.11,0.43,0.34,0.12,5.49,4.71
108,7,北京站西街,39.900369,116.414239,108,8,21519,0.15,0.41,0.23,0.21,0.11,0.43,0.32,0.14,5.5,4.55
109,7,崇文门西,39.899721,116.410574,109,8,21488,0.15,0.39,0.25,0.21,0.1,0.43,0.34,0.13,5.37,4.32
110,7,台基厂路口东,39.899616,116.407141,110,8,23669,0.14,0.44,0.22,0.2,0.1,0.39,0.37,0.14,5.21,4.08
111,7,台基厂,39.901678,116.40546,111,8,22133,0.15,0.42,0.2,0.23,0.11,0.42,0.34,0.13,4.94,3.83
112,7,王府井路口北,39.908588,116.405261,112,8,20491,0.15,0.4,0.22,0.23,0.11,0.41,0.34,0.14,4.31,3.47
113,7,校尉胡同,39.912939,116.40776,113,8,21415,0.15,0.41,0.21,0.23,0.11,0.41,0.34,0.14,4.1,3.54
114,7,新东安市场,39.914128,116.406509,114,8,23028,0.15,0.44,0.19,0.22,0.11,0.41,0.34,0.14,3.93,3.4
115,7,东安门大街,39.913956,116.402448,115,8,22438,0.14,0.39,0.25,0.22,0.11,0.41,0.34,0.14,3.7,3.07
116,7,骑河楼,39.917856,116.400268,116,8,23529,0.15,0.39,0.23,0.23,0.12,0.41,0.33,0.14,3.26,2.82
117,7,崇文门内,39.902772,116.412145,117,8,21465,0.13,0.39,0.24,0.24,0.11,0.42,0.34,0.13,5.18,4.27
118,7,东单路口北,39.908271,116.411814,118,8,20003,0.14,0.43,0.22,0.21,0.1,0.41,0.35,0.14,4.71,4.01
119,7,米市大街,39.914841,116.411583,119,8,21270,0.15,0.38,0.27,0.2,0.1,0.42,0.35,0.13,4.21,3.82
120,7,灯市东口,39.917357,116.410362,120,8,23936,0.15,0.38,0.26,0.21,0.1,0.42,0.34,0.14,3.95,3.68
121,7,灯市西口,39.918037,116.404847,121,8,20550,0.14,0.41,0.23,0.22,0.1,0.44,0.32,0.14,3.54,3.21
122,7,美术馆北,39.923927,116.404627,122,8,23362,0.14,0.4,0.23,0.23,0.1,0.4,0.37,0.13,3.14,3.22
123,7,大佛寺,39.925897,116.402954,123,8,23663,0.14,0.41,0.24,0.21,0.11,0.39,0.36,0.14,2.91,3.11
124,7,宽街路口南,39.929616,116.402788,124,8,23523,0.15,0.44,0.2,0.21,0.11,0.43,0.32,0.14,2.72,3.22
125,6,北兵马司,39.934376,116.402554,125,4,17661,0.13,0.37,0.28,0.22,0.12,0.41,0.31,0.16,2.55,3.41
126,6,交道口南,39.937796,116.402424,126,4,16893,0.14,0.4,0.21,0.25,0.11,0.39,0.35,0.15,2.5,3.6
127,6,方家胡同,39.942585,116.402263,127,4,16039,0.13,0.35,0.27,0.25,0.11,0.4,0.34,0.15,2.53,3.91
128,6,安定门内,39.944765,116.402173,128,4,15603,0.14,0.41,0.21,0.24,0.12,0.42,0.31,0.15,2.57,4.06
130,6,蒋宅口东,39.957665,116.402821,130,4,17901,0.12,0.41,0.23,0.24,0.11,0.41,0.34,0.14,3.31,5.18
131,6,兴化路南口,39.957737,116.408465,131,4,16142,0.14,0.39,0.24,0.23,0.12,0.41,0.32,0.15,3.7,5.48
132,6,和平里北街,39.95783,116.412909,132,4,17833,0.13,0.38,0.25,0.24,0.1,0.42,0.32,0.16,4.02,5.74
133,6,和平里路口西,39.957882,116.415582,133,4,15562,0.14,0.41,0.23,0.22,0.1,0.42,0.34,0.14,4.21,5.9
135,6,柳芳北街,39.9582,116.430485,135,4,17391,0.14,0.41,0.22,0.23,0.1,0.43,0.32,0.15,5.36,6.87
136,6,国际展览中心,39.958283,116.435025,136,4,17802,0.12,0.37,0.29,0.22,0.12,0.39,0.34,0.15,5.72,7.18
137,6,静安庄东,39.959642,116.442984,137,4,16839,0.13,0.36,0.3,0.21,0.11,0.42,0.32,0.15,6.4,7.82
138,6,左家庄东里,39.954975,116.439365,138,4,17000,0.14,0.4,0.24,0.22,0.11,0.4,0.34,0.15,5.94,7.28
139,6,柳芳东口,39.953426,116.43273,139,4,17755,0.14,0.42,0.19,0.25,0.12,0.41,0.32,0.15,5.35,6.71
140,6,柳芳西口,39.953237,116.429684,140,4,15832,0.14,0.35,0.27,0.24,0.11,0.4,0.32,0.17,5.09,6.49
141,6,西坝河南路,39.956577,116.428552,141,4,16334,0.12,0.42,0.21,0.25,0.11,0.42,0.32,0.15,5.14,6.63
142,8,天桥,39.883317,116.392702,142,8,29546,0.13,0.39,0.24,0.24,0.08,0.48,0.29,0.15,6.36,4.6
143,6,友谊医院东,39.884918,116.38866,143,8,17757,0.16,0.38,0.23,0.23,0.13,0.35,0.37,0.15,6.1,4.29
144,6,永安路,39.884812,116.381754,144,8,16498,0.15,0.42,0.2,0.23,0.13,0.35,0.36,0.16,6.02,4.09
145,8,大红罗厂西口,39.926463,116.367053,145,9,25641,0.15,0.42,0.22,0.21,0.08,0.38,0.37,0.17,1.43,0.74
146,6,平安里路口南,39.928553,116.366943,146,5,16165,0.15,0.39,0.23,0.23,0.12,0.4,0.32,0.16,1.22,0.97
147,5,护国寺,39.933893,116.366683,147,5,10563,0.15,0.41,0.22,0.22,0.13,0.33,0.38,0.16,0.75,1.56
148,6,新街口南,39.937253,116.366603,148,4,16735,0.13,0.37,0.28,0.22,0.11,0.43,0.31,0.15,0.57,1.94
149,6,新开胡同,39.939189,116.361211,149,4,17506,0.13,0.41,0.24,0.22,0.12,0.43,0.31,0.14,1.02,2.21
150,6,西直门内,39.9391,116.353873,150,4,17727,0.12,0.39,0.25,0.24,0.12,0.41,0.32,0.15,1.64,2.43
154,6,新街口西,39.93925,116.364545,154,4,16980,0.12,0.37,0.29,0.22,0.11,0.43,0.31,0.15,0.73,2.17
155,6,西四路口北,39.924833,116.367134,155,5,17960,0.14,0.4,0.24,0.22,0.1,0.43,0.32,0.15,1.6,0.55
156,7,东直门枢纽站,39.940788,116.429435,156,9,23856,0.16,0.43,0.19,0.22,0.11,0.35,0.4,0.14,4.81,5.79
157,6,东直门内,39.939793,116.425198,157,4,15768,0.14,0.39,0.25,0.22,0.11,0.39,0.34,0.16,4.44,5.41
158,6,东内小街,39.939647,116.416485,158,4,16891,0.13,0.42,0.21,0.24,0.12,0.4,0.33,0.15,3.7,4.74
159,6,北新桥路口南,39.938039,116.410709,159,4,15018,0.13,0.41,0.23,0.23,0.11,0.42,0.33,0.14,3.21,4.22
160,6,东四十二条,39.93441,116.41088,160,4,16506,0.13,0.4,0.22,0.25,0.11,0.45,0.3,0.14,3.25,4.05
161,6,魏家胡同,39.93152,116.41091,161,4,17589,0.13,0.36,0.28,0.23,0.11,0.42,0.32,0.15,3.32,3.94
162,6,钱粮胡同,39.92733,116.411141,162,4,16852,0.12,0.42,0.22,0.24,0.11,0.42,0.32,0.15,3.47,3.83
163,6,东四路口南,39.92139,116.411342,163,4,16347,0.13,0.37,0.27,0.23,0.12,0.42,0.32,0.14,3.78,3.76
164,7,磁器口北,39.893342,116.412477,164,8,21364,0.15,0.38,0.23,0.24,0.11,0.4,0.34,0.15,6.04,4.85
165,7,红桥路口北,39.887873,116.412597,165,8,21926,0.15,0.43,0.21,0.21,0.1,0.41,0.35,0.14,6.56,5.25
166,6,红桥路口西,39.886981,116.410045,166,8,17975,0.15,0.38,0.22,0.25,0.13,0.34,0.37,0.16,6.54,5.16
167,6,天坛北门,39.886959,116.405122,167,8,16387,0.15,0.38,0.25,0.22,0.11,0.32,0.41,0.16,6.35,4.88
168,6,金鱼池,39.886778,116.400119,168,8,17877,0.14,0.43,0.21,0.22,0.12,0.35,0.36,0.17,6.2,4.62
169,6,天桥路口东,39.885887,116.395749,169,8,16832,0.14,0.44,0.17,0.25,0.13,0.35,0.39,0.13,6.16,4.49
170,6,北纬路东站,39.882163,116.38853,170,4,15357,0.13,0.41,0.24,0.22,0.12,0.42,0.32,0.14,6.4,4.57
171,6,北纬路,39.88201,116.383353,171,4,16149,0.12,0.38,0.25,0.25,0.11,0.41,0.32,0.16,6.34,4.42
173,6,北京南站,39.864372,116.370817,173,4,16661,0.12,0.42,0.25,0.21,0.11,0.43,0.31,0.15,8.24,6.18
174,6,永定门汽车站,39.867596,116.37674,174,4,15987,0.14,0.39,0.23,0.24,0.11,0.42,0.32,0.15,7.89,5.87
175,6,北新桥路口西,39.939548,116.408805,175,4,16458,0.12,0.37,0.28,0.23,0.12,0.42,0.31,0.15,3.05,4.16
176,6,交道口东,39.939511,116.404334,176,4,15017,0.14,0.42,0.22,0.22,0.12,0.42,0.3,0.16,2.67,3.84
177,6,小经厂,39.939448,116.400088,177,4,15605,0.13,0.42,0.23,0.22,0.1,0.45,0.3,0.15,2.3,3.54
178,6,宝钞胡同,39.93941,116.394141,178,4,16191,0.14,0.41,0.23,0.22,0.1,0.44,0.32,0.14,1.8,3.16
179,6,鼓楼,39.938142,116.389773,179,4,16346,0.14,0.42,0.21,0.23,0.11,0.42,0.33,0.14,1.42,2.79
180,6,地安门外,39.933601,116.389971,180,4,16618,0.12,0.4,0.25,0.23,0.11,0.44,0.3,0.15,1.54,2.46
181,6,北海北门,39.932077,116.384795,181,4,15630,0.14,0.4,0.22,0.24,0.11,0.38,0.34,0.17,1.23,2.02
182,6,东官房,39.9319,116.380848,182,4,16197,0.13,0.37,0.26,0.24,0.11,0.4,0.33,0.16,0.99,1.77
183,6,厂桥路口东,39.931676,116.374648,183,4,15436,0.13,0.38,0.28,0.21,0.11,0.41,0.32,0.16,0.77,1.46
184,5,平安里路口东,39.931403,116.368552,184,5,10355,0.15,0.4,0.24,0.21,0.14,0.35,0.37,0.14,0.88,1.29
185,5,平安医院,39.931102,116.359888,185,5,11213,0.15,0.39,0.23,0.23,0.14,0.33,0.38,0.15,1.39,1.4
186,5,官园,39.931092,116.35604,186,5,10418,0.15,0.42,0.2,0.23,0.14,0.35,0.36,0.15,1.67,1.58
187,5,车公庄西,39.931095,116.346433,187,5,10607,0.15,0.42,0.22,0.21,0.15,0.31,0.38,0.16,2.42,2.17
188,5,三塔寺,39.931119,116.342397,188,5,10548,0.13,0.39,0.24,0.24,0.15,0.33,0.37,0.15,2.74,2.47
189,8,二里沟东口,39.931133,116.339278,189,8,29359,0.13,0.38,0.25,0.24,0.08,0.44,0.32,0.16,3,2.7
190,8,北京展览馆,39.935493,116.337972,190,8,27174,0.14,0.41,0.21,0.24,0.07,0.48,0.29,0.16,3.01,3.05
191,5,车公庄东,39.930957,116.352189,191,5,11854,0.13,0.4,0.27,0.2,0.14,0.33,0.37,0.16,1.97,1.78
194,8,安外甘水桥,39.963104,116.401629,194,5,26471,0.15,0.39,0.24,0.22,0.06,0.53,0.24,0.17,3.66,5.63
195,8,安贞里,39.970344,116.401409,195,5,27664,0.14,0.4,0.25,0.21,0.06,0.54,0.26,0.14,4.28,6.32
196,8,五路居,39.973444,116.401439,196,5,26685,0.14,0.38,0.27,0.21,0.06,0.51,0.27,0.16,4.58,6.63
197,8,奥体东门,39.980064,116.401408,197,7,27664,0.14,0.38,0.25,0.23,0.07,0.5,0.29,0.14,5.21,7.3
198,8,安慧桥北,39.991983,116.401492,198,7,26849,0.15,0.42,0.2,0.23,0.07,0.5,0.27,0.16,6.42,8.53
199,8,炎黄艺术馆,39.996373,116.401716,199,7,28328,0.15,0.42,0.2,0.23,0.07,0.48,0.3,0.15,6.88,9
200,8,大屯南,40.000003,116.401736,200,7,26927,0.16,0.41,0.19,0.24,0.07,0.49,0.3,0.14,7.26,9.38
201,6,大屯东,40.001653,116.403086,201,5,15143,0.15,0.43,0.19,0.23,0.11,0.41,0.32,0.16,7.47,9.59
202,8,北京西站南广场,39.891025,116.318805,202,6,25847,0.15,0.36,0.28,0.21,0.07,0.46,0.31,0.16,7.02,5.23
203,8,湾子,39.888578,116.322447,203,6,26541,0.15,0.39,0.23,0.23,0.07,0.5,0.28,0.15,7.03,5.17
204,8,广外甘石桥,39.88854,116.326558,204,6,29980,0.15,0.37,0.24,0.24,0.07,0.51,0.28,0.14,6.83,4.92
205,8,达官营,39.888439,116.332833,205,6,26378,0.16,0.36,0.24,0.24,0.06,0.48,0.29,0.17,6.54,4.57
206,8,广安门内,39.887927,116.354009,206,8,28387,0.14,0.44,0.21,0.21,0.07,0.45,0.32,0.16,5.85,3.73
207,8,牛街路口西,39.887894,116.356844,207,8,25839,0.13,0.42,0.24,0.21,0.08,0.45,0.32,0.15,5.8,3.66
208,8,菜市口西,39.887799,116.362944,208,8,28568,0.14,0.43,0.2,0.23,0.08,0.47,0.3,0.15,5.7,3.58
210,7,东大桥公交场站,39.921901,116.446568,210,8,23595,0.14,0.4,0.25,0.21,0.11,0.42,0.33,0.14,6.53,6.76
211,7,八王坟南,39.905594,116.4717,211,7,21992,0.15,0.42,0.2,0.23,0.09,0.43,0.33,0.15,9.17,9.04
212,7,光辉桥南,39.903694,116.471671,212,7,22649,0.14,0.42,0.24,0.2,0.1,0.44,0.32,0.14,9.25,9.08
213,7,九龙山,39.894953,116.471465,213,7,23689,0.15,0.4,0.22,0.23,0.1,0.43,0.33,0.14,9.69,9.31
214,7,九龙山路口东,39.89179,116.47376,214,4,20665,0.13,0.39,0.27,0.21,0.1,0.48,0.3,0.12,10.03,9.6
215,7,大郊亭桥西,39.891825,116.479159,215,8,21015,0.14,0.39,0.25,0.22,0.11,0.41,0.34,0.14,10.43,10.04
216,7,大郊亭桥东,39.891786,116.487049,216,8,22156,0.14,0.44,0.21,0.21,0.1,0.42,0.33,0.15,11.02,10.68
217,7,地铁百子湾站,39.891747,116.48987,217,8,23941,0.15,0.37,0.26,0.22,0.1,0.41,0.34,0.15,11.23,10.91
218,7,唐家村,39.891729,116.493995,218,8,22860,0.15,0.37,0.27,0.21,0.11,0.38,0.36,0.15,11.55,11.25
